,pickup_longitude
0,-73.87452999999994
1,-73.98509299999995
2,-73.99647999999996
3,-88.43004897746927
4,-3.45951840999993
5,-122.40099999999995
6,151.27046000000007
7,-73.77873999999997
8,-84.3850110267159
9,-74.01257999999996
10,-86.71370999999994
11,-79.39284999999995
12,-73.96972499999998
13,31.948590000000024
14,-90.68941999999998
15,-90.04760999999996
16,-83.27746935411544
17,-82.10248999999999
18,-79.31717985801059
19,-85.58557999999994
20,-73.97290999999996
21,-78.62167499999998
22,22.239820000000066
23,-73.99184999999994
24,-73.98980115641835
25,-74.00769999999994
26,-122.40747999999996
27,22.207250000000045
28,-73.96794999999997
29,-117.16832
30,144.9526800000001
31,-73.96249999999998
32,-3.445330485999932
33,-73.97068999999993
34,-73.97780999999998
35,-88.08084999999994
36,-83.19999999999999
37,-0.133681782999929
38,-71.11199999999997
39,-122.13599631172356
40,-74.00248044924864
41,-73.87401999999997
42,-74.01589999999999
43,-87.89776999999998
44,-81.86273503204004
45,-120.00948999999996
46,-121.31652999999994
47,-73.98056999999994
48,-118.19939999999995
49,23.334063055553937
50,-73.96624999999995
51,-122.2668
52,-73.96469999999994
53,-84.13187835388001
54,-73.94874999999996
55,-3.190459999999973
56,-77.31110640499998
57,-73.93013999999994
58,-81.33016999999995
59,-73.93923999999998
60,-79.81809099999998
61,-73.98596999999995
62,-73.93848670696451
63,-97.27535999999998
64,-122.40857999999996
65,-73.97749999999996
66,-73.79088999999993
67,-76.57423999999997
68,-73.98576786205874
69,-73.95275999999996
70,76.90760000000006
71,-2.1482899999999745
72,-122.25309999999996
73,-70.96310999999997
74,-74.00162999999998
75,-73.97167999999994
76,-73.98178999999999
77,-73.90493999999995
78,-73.93989999999997
79,-73.74660999999998
80,-81.67829999999998
81,-81.62808999999999
82,-73.62418999999994
83,-73.81113999999997
84,-96.68124999999998
85,152.2614000000001
86,-87.93675999999994
87,-73.88755999999995
88,-73.86040999999994
89,-73.81139576302819
90,-73.82339999999994
91,-73.93378999999999
92,-0.4684685539999691
93,-117.57482999999996
94,-73.96182999999996
95,-73.89543999999995
96,-73.86883999999998
97,-89.93801099999996
98,-73.87792999999994
99,-73.9394373228829
100,-73.85278999999997
101,-86.28649999999999
102,-73.75667999999996
103,-73.80978999999996
104,-73.91398999999996
105,-81.16587999999996
106,-73.71545999999995
107,-80.39645999999993
108,3.572840000000042
109,-83.32154999999995
110,-73.82890999999995
111,-83.24467999999996
112,-73.88269999999994
113,-73.84601999999995
114,-73.93485999999996
115,-87.93987999999996
116,-74.11257999999998
117,152.51854000000003
118,-73.90153999999995
119,-73.97401999999994
120,-0.3390663299999801
121,-73.74658999999997
122,-73.93104638727061
123,-73.97040095435577
124,-73.99680999999998
125,-73.95386999999994
126,80.95320000000004
127,-73.88235999999995
128,-73.99402999999995
129,138.57108000000005
130,-73.93401999999998
131,-73.90068999999994
132,-74.89558999999997
133,-73.89252797761338
134,28.09465000000006
135,-73.78268999999995
136,-73.92488927384467
137,-73.92535999999996
138,-73.48431737799996
139,-73.92207999999994
140,-73.92665381737936
141,-73.91625999999997
142,-76.37343999999996
143,-73.89096999999998
144,-73.92360999999994
145,-98.99548999999996
146,0.3693955690000621
147,-73.75248999999997
148,-73.71323999999998
149,-74.17390999999998
150,-2.6408999798078554
151,-73.86735999999996
152,-73.88368450586063
153,151.00995000000012
154,-73.81532999999996
155,-73.94457999999997
156,-112.00611402147705
157,-73.74733999999995
158,-73.99026999999995
159,-76.50673999999998
160,-73.87641999999994
161,-73.88401999999996
162,-73.89124999999996
163,-73.78298999999998
164,-63.63568599999997
165,-73.95957999999996
166,-73.81196299999993
167,-73.91166999999996
168,-82.88901087549813
169,-122.27833999999996
170,-97.49924
171,-85.18552999999997
172,-118.41085999999996
173,-73.86433999999997
174,-85.49612999999994
175,-81.55982999999998
176,-73.84735999999998
177,-73.87039397954875
178,-73.73184999999995
179,-124.06462
180,-74.18947998629393
181,-87.57134999999994
182,-71.20286999999996
183,-73.75075999999996
184,-122.27632999999996
185,-73.85980382171228
186,-73.87145999999996
187,-73.79003999999998
188,-73.94731999999993
189,-89.97682999999995
190,-79.43786299999994
191,-73.92093999999997
192,-118.24863999999997
193,-89.38643999999994
194,-81.34677999999997
195,-73.84307026357106
196,-73.88836999999995
197,-74.18295999999998
198,-73.90715999999998
199,151.9614233403465
200,-73.88782999999995
201,-73.86682999999994
202,-74.00957999999997
203,-73.89792999999997
204,-73.88096999999993
205,-80.80489999999998
206,-75.30825999999996
207,-74.00430999999998
208,-73.86118999999997
209,-73.81372999999996
210,-73.90670999999998
211,-99.91246999999998
212,-73.77901999999995
213,-73.83691999999996
214,-73.80841999999996
215,-88.01632999999998
216,-80.31533999999994
217,-73.84580999999997
218,-73.81027999999998
219,-73.88381999999996
220,-117.45345999999996
221,-73.82060999999999
222,-88.35315053065447
223,-81.78942999999998
224,-74.25056999999998
225,-74.04639491762516
226,-82.57595999999995
227,-73.88011999999998
228,-73.90211999999997
229,-124.06447999999996
230,-74.09522999999996
231,-87.79497999999995
232,-87.60170000027944
233,-77.41599999999994
